2026-05-09 15:42:57,709 | ERROR | Error registrando cliente: Correo electrónico inválido.
2026-05-09 15:42:57,710 | ERROR | Caso 2 - Registrar cliente con correo inválido: Error registrando cliente: Correo electrónico inválido.
2026-05-09 15:42:57,710 | ERROR | Error registrando cliente: Teléfono inválido.
2026-05-09 15:42:57,710 | ERROR | Caso 3 - Registrar cliente con teléfono inválido: Error registrando cliente: Teléfono inválido.
2026-05-09 15:42:57,710 | ERROR | No se pudo registrar el cliente con ID 1.
2026-05-09 15:42:57,710 | ERROR | Caso 4 - Registrar cliente duplicado: Ya existe un cliente registrado con ID 1.
2026-05-09 15:42:57,711 | ERROR | Caso 6 - Crear servicio con costo negativo: El costo base del servicio debe ser mayor a cero.
2026-05-09 15:42:57,713 | ERROR | No se pudo crear la reserva por una validación del sistema.
2026-05-09 15:42:57,713 | ERROR | Caso 10 - Crear reserva con cliente no registrado: El cliente debe estar registrado antes de crear una reserva.
2026-05-09 15:42:57,715 | ERROR | Error al cancelar reserva: La reserva ya se encuentra cancelada.
2026-05-09 15:42:57,715 | ERROR | Error cancelando reserva: La reserva ya se encuentra cancelada.
2026-05-09 15:42:57,715 | ERROR | Caso 12 - Cancelar reserva ya cancelada: Error cancelando reserva: La reserva ya se encuentra cancelada.
2026-05-09 15:42:57,716 | ERROR | Error al confirmar reserva: El servicio seleccionado no está disponible.
2026-05-09 15:42:57,720 | ERROR | Error creando reserva: No se pudo confirmar la reserva: El servicio seleccionado no está disponible.
2026-05-09 15:42:57,720 | ERROR | Caso 13 - Intentar reservar servicio no disponible: Error creando reserva: No se pudo confirmar la reserva: El servicio seleccionado no está disponible.
